Date,Home Team,Away Team,Difference doubles,Difference triples,Difference homeruns,Difference hits,Difference hitbypitch,Difference avg,Difference obp,Difference slg,Difference ops,Difference groundintodoubleplay,Difference leftonbase,Difference strikeouts,Difference baseonballs,Difference whip,Difference strikepercentage,Difference pitchesperinning,Difference homerunsper9,Home Team Won
"March 31, 2025",MIA,NYM,-2.0,0.0,-2.0,-2.0,-1.0,0.068,0.040000000000000036,0.025000000000000022,0.06499999999999995,-1.0,8.0,-8.0,-1.0,0.1200000000000001,-0.010000000000000009,3.0,2.0,False
"March 31, 2025",TB,PIT,3.0,0.0,0.0,6.0,0.0,0.118,0.07400000000000001,0.15099999999999997,0.22499999999999998,1.0,14.0,0.0,-5.0,-0.6299999999999999,0.020000000000000018,-3.629999999999999,0.0,True
"March 31, 2025",TOR,WSH,5.0,0.0,-1.0,5.0,1.0,0.03900000000000001,0.05099999999999999,-0.03400000000000003,0.017000000000000015,0.0,2.0,6.0,0.0,-0.3999999999999999,0.010000000000000009,-0.6899999999999977,0.8700000000000001,True
"March 31, 2025",STL,LAA,1.0,-1.0,2.0,7.0,0.0,0.11599999999999999,0.11599999999999999,0.241,0.357,0.0,9.0,1.0,0.0,-0.3599999999999999,-0.020000000000000018,-4.300000000000001,-1.8,False
"March 31, 2025",HOU,SF,-1.0,0.0,-1.0,-6.0,1.0,-0.069,-0.007000000000000006,-0.20600000000000002,-0.21300000000000008,0.0,-6.0,0.0,2.0,0.1100000000000001,-0.030000000000000027,4.550000000000001,1.0,False
"March 31, 2025",SD,CLE,1.0,0.0,-2.0,4.0,-1.0,0.03199999999999997,0.032999999999999974,-0.059,-0.026000000000000023,0.0,4.0,4.0,-4.0,-0.3500000000000001,-0.030000000000000027,-0.8599999999999994,2.0,True
"March 31, 2025",SEA,DET,-2.0,1.0,2.0,-10.0,0.0,-0.10499999999999998,-0.066,-0.11399999999999999,-0.17999999999999994,-2.0,-2.0,-4.0,-2.0,0.14000000000000012,0.010000000000000009,2.0,-2.0,False
"March 31, 2025",ATH,CHC,-4.0,-1.0,-3.0,-11.0,-1.0,-0.025999999999999995,-0.05600000000000005,-0.046999999999999986,-0.10299999999999998,1.0,-15.0,1.0,8.0,-0.10999999999999988,-0.020000000000000018,13.769999999999998,3.0,False
"March 31, 2025",LAD,ATL,1.0,0.0,1.0,5.0,0.0,0.09000000000000002,0.08600000000000002,0.27,0.356,1.0,-4.0,7.0,-2.0,-0.28,0.010000000000000009,-5.6899999999999995,-1.25,True
"April 1, 2025",CIN,TEX,-1.0,0.0,-1.0,0.0,-1.0,0.032,0.02699999999999997,0.03400000000000003,0.06099999999999994,1.0,-2.0,-2.0,4.0,-0.2799999999999999,-0.10999999999999999,3.8900000000000006,1.0,False
