hits (Home-Away),homeruns (Home-Away),leftonbase (Home-Away),obp (Home-Away),slg (Home-Away),strikeouts (Home-Away),strikepercentage (Home-Away),whip (Home-Away),SP ERA (Home-Away),y
4.0,0.0,-3.0,0.013000000000000012,0.09399999999999997,1.0,-0.050000000000000044,-0.07999999999999985,-0.9199999999999999,1
1.0,0.0,-10.0,0.02400000000000002,0.07400000000000001,6.0,-0.010000000000000009,0.030000000000000027,-3.8100000000000005,1
4.0,1.0,4.0,0.02999999999999997,0.008000000000000007,3.0,-0.020000000000000018,-0.19000000000000006,-1.6800000000000002,1
-1.0,0.0,-6.0,0.02200000000000002,0.11499999999999999,-2.0,-0.09999999999999998,-0.06000000000000005,0.0,1
1.0,-1.0,8.0,0.07199999999999995,0.21600000000000003,2.0,0.010000000000000009,-0.26,3.21,0
1.0,3.0,-8.0,-0.013000000000000012,0.10299999999999998,4.0,-0.030000000000000027,0.16999999999999993,-3.21,1
-4.0,-1.0,9.0,0.026000000000000023,-0.17099999999999999,-5.0,0.09000000000000008,0.0,2.96,0
1.0,2.0,-13.0,-0.07,0.02699999999999997,-5.0,-0.020000000000000018,0.49,-8.44,1
5.0,3.0,-1.0,0.129,0.4590000000000001,4.0,0.010000000000000009,-0.8200000000000001,-9.21,1
-2.0,1.0,-4.0,-0.0050000000000000044,-0.134,5.0,0.0,-0.020000000000000018,-3.0,1
-2.0,0.0,0.0,0.03199999999999997,-0.03999999999999998,2.0,0.020000000000000018,-0.15000000000000002,0.9400000000000004,0
0.0,0.0,0.0,0.09399999999999997,0.09800000000000003,3.0,0.07000000000000006,-0.5499999999999999,-0.6000000000000001,1
2.0,0.0,-1.0,0.014000000000000012,0.08899999999999997,4.0,-0.050000000000000044,-0.07000000000000006,-0.20999999999999996,1
-6.0,-3.0,-5.0,-0.05400000000000005,-0.135,0.0,0.010000000000000009,0.31999999999999984,2.25,0
1.0,0.0,1.0,-0.016000000000000014,0.08300000000000002,0.0,-0.030000000000000027,0.0,-3.0,0
5.0,2.0,-1.0,0.18100000000000002,0.239,1.0,0.10999999999999999,-0.97,1.9100000000000001,1
1.0,2.0,-10.0,0.0,0.09800000000000003,6.0,-0.06000000000000005,0.10999999999999988,-4.5,1
5.0,-2.0,15.0,0.10800000000000004,0.19500000000000006,4.0,0.010000000000000009,-0.41999999999999993,5.06,1
1.0,0.0,-7.0,0.014999999999999958,-0.128,-1.0,-0.029999999999999916,0.020000000000000018,-1.2000000000000002,1
8.0,0.0,14.0,0.09000000000000002,0.18,-1.0,0.09000000000000008,-0.47,-4.5,1
6.0,3.0,6.0,0.07699999999999999,0.18099999999999997,8.0,-0.020000000000000018,-0.7999999999999999,-24.3,1
-8.0,-2.0,-9.0,-0.03600000000000003,-0.08000000000000002,-4.0,-0.07000000000000006,0.7899999999999998,9.0,0
7.0,0.0,5.0,0.07500000000000001,0.21500000000000002,6.0,0.010000000000000009,0.10999999999999988,-2.7699999999999996,1
5.0,2.0,-6.0,0.118,0.23500000000000004,8.0,0.030000000000000027,-0.29000000000000004,1.69,1
9.0,2.0,7.0,0.055999999999999994,0.07200000000000001,1.0,-0.050000000000000044,-0.42000000000000015,-18.0,1
-2.0,-2.0,8.0,0.040000000000000036,0.025000000000000022,-8.0,-0.010000000000000009,0.1200000000000001,10.5,0
6.0,0.0,14.0,0.07400000000000001,0.15099999999999997,0.0,0.020000000000000018,-0.6299999999999999,-9.82,1
5.0,-1.0,2.0,0.05099999999999999,-0.03400000000000003,6.0,0.010000000000000009,-0.3999999999999999,-4.2,1
7.0,2.0,9.0,0.11599999999999999,0.241,1.0,-0.020000000000000018,-0.3599999999999999,-2.0200000000000005,0
-6.0,-1.0,-6.0,-0.007000000000000006,-0.20600000000000002,0.0,-0.030000000000000027,0.1100000000000001,5.4,0
4.0,-2.0,4.0,0.032999999999999974,-0.059,4.0,-0.030000000000000027,-0.3500000000000001,-9.9,1
-10.0,2.0,-2.0,-0.066,-0.11399999999999999,-4.0,0.010000000000000009,0.14000000000000012,-4.3,0
-11.0,-3.0,-15.0,-0.05600000000000005,-0.046999999999999986,1.0,-0.020000000000000018,-0.10999999999999988,8.1,0
5.0,1.0,-4.0,0.08600000000000002,0.27,7.0,0.010000000000000009,-0.28,-9.0,1
0.0,-1.0,-2.0,0.02699999999999997,0.03400000000000003,-2.0,-0.10999999999999999,-0.2799999999999999,1.5,0
-2.0,0.0,-6.0,0.035999999999999976,0.028000000000000025,-3.0,-0.040000000000000036,0.15999999999999992,0.0,1
